Q14942930	Wikimedia subject-area collaboration
Q82794	2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences
Q13218391	type of city in California
Q1228431	US independent record label
Q98058768	tail of a pig
Q8394144	Wikimedia category
Q104596234	Wikimedia category
Q858338	Wikimedia list article
Q2342494	object regarded as being of value or interest to a collector
Q12894866	Creole term for cloud
Q1123037	traditional song or poem for children
Q2092297	large carnivorous bird
Q615541	evaluation strategy that fully evaluates arguments before calling a function
Q16391167	large vehicule, watercraft, boat, spaceship or ship
Q39631	professional who practices medicine
Q720398	food production method using prolonged dry heat acting by convection
Q1420736	flag of the city-state of Venice, 8th-18th centuries
Q6100942	Wikimedia template
Q8663	1950-1953 war between North and South Korea
Q7957247	Professional wrestling television program
Q1192354	needle-like leaf of some conifers
Q79031638	circlet made from flowers plaited together, usually daisies
Q21810574	Chinese painter
Q2037215	weapon utilizing a self-contained rocket engine to propel itself to its target
Q234460	object that can be "read" by reader; result of writing
Q849242	form of government and succession of power in which the throne passes from one member of a royal family to another member of the same family
Q112123596	software used to create digital models
Q806463	district of Karnataka, India
Q7481547	Wikimedia category
Q82799	word or term used for identification
Q1478783	port with facilities for the loading and unloading of ferries
Q7382189	Registry of places of historical or cultural significance in the Russian Federation
Q11774592	Wikimedia portal
Q586	city in and former capital of Germany
Q1318740	device that produces light from electricity, packaged into a replaceable assembly
Q192628	meat from cattle
Q8495	white liquid produced by the mammary glands of mammals
Q215857	cabinet with shelving used to store books
Q724012	American cinematographer (1922-2017)
Q1898931	Australian musician
Q21155804	Wikimedia category
Q497903	shaped neckwear that fastens around or frames the neck, either attached to a garment or as a separate accessory
Q5173	animals with bilateral symmetry, at least as embryo
Q30504649	type of side, highest side of something
Q7216255	Wikimedia category
Q212920	machine for household uses
Q3877969	state of not existing
Q99905	vehicle safety device
Q943775	city in North Carolina, United States
Q7023134	Wikimedia category
Q9614	mobile organ located inside the mouth
Q8549605	Wikimedia category
Q8058940	Wikimedia category
Q47537	the act of thinking, discussing, and writing about architecture
Q841423	arm (hand + forearm + upper arm + pectoral girdle)
Q184783	ability of an asset to be bought or sold on the market without causing a drastic change in the asset's price
Q170378	source-based Linux distribution
Q157582	national day of Germany
Q7008898	Wikimedia category
Q16267401	Wikimedia template page
Q1742041	sounds or cries made by horses
Q185583	confection made with sugar
Q283	chemical compound; main constituent of the fluids of most living organisms
Q68502029	fictional character in 1975 film Let's Do It Again, a bookie played by Calvin Lockhart
Q4734	currency of the Democratic Republic of the Congo
Q1866689	set of geometric points and lines such that each point is incident to the same number of lines and each line is incident to the same number of points
Q11402	physical influence that tends to cause an object to change motion unless opposed by other forces
Q912400	property of a substance to spontaneously ignite in air without heating
Q111870615	hotel in Oceania, Fiji
Q2042754	museum about historic and modern cultures in the Dutch city of Rotterdam
Q2945448	Wikimedia category
Q15316	Earth's outer layer
Q219488	scientific study of primates
Q4530359	economy of the region
Q3332814	Multiple of the unit bit
Q8221498	Wikimedia category
Q210272	physical artifact or intangible attribute of a society inherited from past generations
Q1703682	geographic region
Q12021227	line of highest elevation separating two slopes of a mountain range
Q21925107	Wikimedia category
Q60797313	poem
Q107968	ion having a negative charge
Q2462215	private individual who tracks down and gathers information on alleged former Nazis, SS members, and Nazi collaborators who were involved in the Holocaust
Q15730190	Wikimedia disambiguation page
Q8336877	Wikimedia category
Q4284186	animal behavior characterized by activity during the day, with a period of sleeping, or other inactivity, at night
Q182712	album
Q2537479	amount of circulating iron in a bloodstream that is bound to transferrin and serum ferritin
Q483426	a standalone computer network, in contrast to an internet
Q13202263	fruit, use Q13189 for the species
Q7132141	self-propelled railway vehicle designed to transport passengers
Q178074	power to unilaterally stop an official action
Q6769919	Wikimedia category
Q5604190	improving the environment of a place or structure, often by adding appropriate plantings
Q1195942	structure or other area set aside for storage of firefighting apparatus
Q5300	electronic circuitry within a computer that carries out the instructions of a computer program by performing the basic arithmetic, logical, control and input/output (I/O) operations specified by the instructions
Q185478	set with the same cardinality as the set of natural numbers
Q331432	someone who captures fish and other animals from a body of water, or gathers shellfish
Q82955	person involved in politics; person who holds or seeks positions in government
Q2824657	social emotion
Q12269838	Wikipedia's portal for exploring content related to Buses
Q1771692	closing text of a narrative
Q1066689	study of understanding how humans communicate
Q11032	scheduled publication containing news of events, articles, features, editorials, and advertising
Q18553741	human disease
Q2383867	biological processes that result in permanent cessation of all vital functions of a cell
Q9113040	Wikimedia category
Q18563658	art museum at Vanderbilt University in Nashville, Tennessee, USA
Q168891	study of cultural products and norms and their variations across and relations to spaces and places.
Q2293798	American post-hardcore band
Q213474	town and civil parish in Buckinghamshire, England
Q81534	national anthem of Japan
Q22915256	material consisting of pigment suspended in water to form a transparent painting medium
Q11105360	intermediary used in trade to avoid the inconveniences of a pure barter system
Q84	capital and largest city of the United Kingdom
Q212881	aspect of history
Q8167993	Wikimedia category
Q648043	English composer (1883-1964)
Q30612297	2017 song performed by James Reid
Q10990	animal flesh eaten as food
Q7215740	Wikimedia category
Q171076	fuel gas produced by anaerobic digestion
Q16967	province of China
Q21546143	type of model
Q15067276	industry dedicated to providing health care services and products
Q3649129	indigenous hut or recreational structure
Q80994	living organism that has reached sexual maturity
Q420477	highest degree in China's imperial triennial court examination
Q12796220	Wikimedia disambiguation page
Q178593	molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass
Q1172523	demographics of country
Q27414	suborder of mammals
Q1549506	any band or strap worn around the wrist
Q327988	type of work-related stress, with symptoms characterized by feelings of energy depletion or exhaustion; increased mental distance from one’s job, or feelings of negativism or cynicism related to one's job; and reduced professional efficacy
